STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960504,272,150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960505,233,150
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960506,239,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960507,122,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960508,167,106
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960509,167,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960510,244,139
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960511,306,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960512,167,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960513,161,56
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960514,183,56
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960515,189,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960516,172,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960517,194,156
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960518,289,172
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960519,350,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960520,356,189
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960521,344,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960522,283,189
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960523,289,167
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960524,278,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960525,217,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960526,172,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960527,139,128
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960528,156,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960529,156,111
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960530,222,78
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960531,233,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960601,267,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960602,261,133
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960603,244,139
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960604,278,156
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960605,283,161
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960606,283,167
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960607,311,183
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960608,317,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960609,300,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960610,306,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960611,294,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960612,306,217
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960613,311,200
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960614,333,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960615,339,206
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960616,333,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960617,333,239
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960618,283,222
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960619,311,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960620,300,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960621,311,228
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,19960622,339,222
